artikel;name;ek
200001;Abdeckhauben;5
200002;"AirPor ""Zero"" FBH-Verbundplatte WLG 040 DESsg 20-2 mm, Trittschalldämmplatte mit Gewebefolie inkl. Rasteraufdruck, SENTINEL Haus Institut geprüft ( EPD ), je Paket 10,00 qm";4.1399999999999997
200003;"AirPor ""Zero"" FBH-Verbundplatte WLG 040 DESsg 30-2 mm, Trittschalldämmplatte mit Gewebefolie inkl. Rasteraufdruck, SENTINEL Haus Institut geprüft ( EPD ), je Paket 10,00 qm";5.51
200004;"AirPor ""Zero"" FBH-Verbundplatte WLG 045 DESsm 20-2 mm, Trittschalldämmplatte mit Gewebefolie inkl. Rasteraufdruck, SENTINEL Haus Institut geprüft ( EPD ), je Paket 10,00 qm";3.44
200005;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 20 mm - 12,00 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";1.43
200006;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 30 mm - 8,00 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";2.15
200007;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 40 mm - 6,00 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";2.86
200008;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 50 mm - 4,50 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";3.58
200009;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 60 mm - 4,00 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";4.29
200010;"AirPor ""Zero"" WD> 100 kPa EPS 035 DEO 70 mm - 3,00 qm, EPS Wärmedämmplatte WLG 035, SENTINEL Haus Institut geprüft ( EPD )";5.01
200011;ALUJET - Anschlussstreifen Speed - 200 mm / 30,0 m, Vollflächig selbstklebendes Verbundmaterial;1.86
200012;ALUJET - Floorjet Speed - Abdichtungsbahn - 75,0 qm, Bitumenfreie Abdichtungsbahn, 1,50 mx 50,00 m;2.23
200013;ALUJET - Walljet ALU - Abdichtungsbahn - 50,0 qm, Bitumenfreie Abdichtungsbahn mit Alu-Verbundschichtaufbau, 1,00 m x 50,00 m;2.82
200014;ALUJET Trimline Estrichkantenschutz / Estrichwinkel 60x60x3 mm weiss;1.18
200015;ALUJET Trimline Estrichkantenschutz / Estrichwinkel 80x40x3 mm weiss;1.3
200016;Armacell AS Wickelbandagen Tubolit WF, selbstklebend  -  3,60 lfm.;3.7
200017;Bachl BIT Perlit Ausgleichschüttung;40.75
200018;Bostik SL G905 ALPHA ST Reparatur Gips 20 kg 42 Sack / Palette 42 Sack / Palette;27.22
200019;Bostik A930 RENOLIGHT Acryl Weiss 300 ml;2.4
200020;Bostik Dämmplatte 11 mm ( 60 x 100 cm );15.94
200021;Bostik Dämmplatte 4 mm ( 60 x 100 cm );8.59
200022;Bostik FIX A995 Fixierung VLIES + 10 kg;52.5
200023;Bostik Grip A500 Multi Universalgrundierung 10 kg 32 Gebinde / Palette 32 Gebinde / Palette;51.8
200024;Bostik Grip A936 XPRESS Grundierung 12 kg für nicht saugfähige Untergründe;93.6
200025;Bostik H751 Supergrip Xtrem Weiss - Montageklebstoff 450 g;6.8
200026;Bostik HYTEC E730 B Epoxy-Grundierung Kom. A 5,7 kg;81.569999999999993
200027;Bostik HYTEC E730 B Epoxy-Grundierung Kom. B 2,3 kg;32.909999999999997
200028;Bostik HYTEC P510 Renorapid - 1 K PU-Grundierung 11 kg;148.06
200029;Bostik MIX A 793 Emulsion - Universalabdichtung 10 ltr.;5.97
200030;Bostik NIBOCLEAN PRO WIPES x 80 Reinigungstuch;6
200031;Bostik PE-Randstreifen 5 mm / 50 mm - 25 m mit integriertem Vliesrücken mit SK-Fuß, 4 Rollen / Karton;32.25
200032;Bostik RENO P520 EASY - 2K Reparaturharz 2 x 300 ml 5 Gebinde / Karton;12.09
200033;Bostik SL C350 Universal Spachtelmasse 25 kg 42 Sack / Palette 42 Sack / Palette;14.57
200034;Bostik SL C510 PRO Spachtelmasse 25 kg 42 Sack / Palette 42 Sack / Palette;21.3
200035;Bostik SL C710 BEST Spachtelmasse 25 kg 42 Sack / Palette 42 Sack / Palette;23.32
200036;Bostik SL C920 Reparatur Spachtelmasse 30 kg 42 Sack / Palette 42 Sack / Palette;27.11
200037;Bostik SL C940 XL Spachtelmasse 30 kg 36 Sack / Palette 36 Sack / Palette;19.61
200038;Bostik SL G560 Alpha Faser Spachtelmasse Gips 25 kg 42 Sack / Palette 42 Sack / Palette;27.43
200039;Bostik STIX A340 LVT PROJEKT Designbelagsklebstoff 14 kg 33 Eimer / Palette 33 Eimer / Palette;41.86
200040;Bostik STIX A530 TEX POWER Universalklebstoff 14 kg 33 Eimer / Palette 33 Eimer / Palette;41.3
200041;Bostik WOOD H200 ELASTIC Parkettklebstoff 17 kg 33 Eimer / Ealette 33 Eimer / Ealette;58.65
200042;Bostik WOOD H550 ECO PLUS Parkettklebstoff 17 kg 33 Eimer / Palette 33 Eimer / Palette;78.03
200043;Bostik WOOD H770 ECO Premium Parkettklebstoff 16 kg 33 Eimer / Palette 33 Eimer / Palette;106.08
200044;BTF Flüstermatte 8mm, 35m²/Rolle;11
200045;concept Isolierung 50% Armaflex HP;0.61
200046;Dehnfugen Schutzrohr - UW-PPLmod. BS 19 sw., geschlitzt (50m Ring);0.3
200047;"Dehnfugenprofil ""Basic 80"" - 10/80 mm - 1,80 m -, mit Selbstklebefuß";1.77
200048;Dyckerhoff PZ Doppel N / CEM I 42,5 - 25 kg je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;0
200049;Dyckerhoff weiß, CEM I/42,5 R - 25 kg je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;0
200050;EPS 035 DES sg - PSTK 10000 EPS Trittschalldämmplatte WLG 035;55
200051;EPS 035 DESsg PSTK 10000 30-2 mm - 7,50 qm EPS Trittschalldämmplatte WLG 035;1.65
200052;EPS 035 DESsg PSTK 10000 40-2 mm - 5,50 qm EPS Trittschalldämmplatte WLG 035;2.2000000000000002
200053;EPS 035 DESsg PSTK 10000 50-2 mm - 4,50 qm EPS Trittschalldämmplatte WLG 035;2.75
200054;EPS 040 DES sg - PSTK 5000 EPS Trittschalldämmplatte WLG 040;46
200055;EPS 040 DESsg PSTK 5000 20-2 mm - 11,00 qm EPS Trittschalldämmplatte WLG 040;0.92
200056;EPS 040 DESsg PSTK 5000 30-2 mm - 7,50 qm EPS Trittschalldämmplatte WLG 040;1.38
200057;EPS 040 DESsg PSTK 5000 40-2 mm - 5,50 qm EPS Trittschalldämmplatte WLG 040;1.84
200058;EPS 040 DESsg PSTK 5000 50-2 mm - 4,50 qm EPS Trittschalldämmplatte WLG 040;2.2999999999999998
200059;EPS 045 DES sm - PSTK 4000 EPS Trittschalldämmplatte WLG 045;41
200060;EPS 045 DESsm PSTK 4000 15-2 mm - 15,00 qm EPS Trittschalldämmplatte WLG 045;0.62
200061;EPS 045 DESsm PSTK 4000 20-2 mm - 11,00 qm EPS Trittschalldämmplatte WLG 045;0.82
200062;EPS 045 DESsm PSTK 4000 25-2 mm - 9,00 qm EPS Trittschalldämmplatte WLG 045;1.03
200063;EPS 045 DESsm PSTK 4000 30-3 mm - 7,50 qm EPS Trittschalldämmplatte WLG 045;1.23
200064;EPS 045 DESsm PSTK 4000 35-3 mm - 6,50 qm EPS Trittschalldämmplatte WLG 045;1.44
200065;EPS 045 DESsm PSTK 4000 40-3 mm - 5,50 qm EPS Trittschalldämmplatte WLG 045;1.64
200066;EPS 045 DESsm PSTK 4000 45-3 mm - 5,00 qm EPS Trittschalldämmplatte WLG 045;1.85
200067;EPS 045 DESsm PSTK 4000 50-3 mm - 4,50 qm EPS Trittschalldämmplatte WLG 045;2.0499999999999998
200068;EPS 045 DESsm PSTK 4000 60-3 mm - 4,00 qm EPS Trittschalldämmplatte WLG 045;2.46
200069;Estrichgitter, Drahtstärke: 2.00 mm, 1,00 m x 2,00 m / je Bund 40,00 qm;1.4
200070;Estrichmeßstellen für Restfeuchtigkeit, VPE 1 Stk.;0.28000000000000003
200071;Europalette;30
200072;Extruderschaum GK / 200 kPa WLG 035 - 20 mm, je Paket 15,00 qm;2.2400000000000002
200073;Extruderschaum GK / 300 kPa WLG 035 - 30 mm, je Paket 10,50 qm;3.06
